rank,iris_name,CODE_IRIS,score_final,dist_min_m,n_competitors,Pop_15_64,Mediane_revenu,Nb_residence_principale,Actif_total
1,Maupertuis-Saint-Mury-Charlaix,382290301,0.560918764066765,2525.6971373149763,0,1730,39064,699,1274
2,Haut Meylan,382290302,0.5471419021993766,2820.6021199456654,0,1564,41280,468,1115
3,Corenc (commune non irisée),381260000,0.5194186782381937,2363.0435646515307,0,2314,21830,759,1677
4,Maquis du Grésivaudan Nord,385160101,0.5123433698675127,1012.5076894292575,0,2507,21830,1060,1710
5,La Monta-Visancourt,383820105,0.5022883736183851,1445.5696962718182,0,1962,23674,1215,1584
6,Diderot,381850104,0.4929654134831543,1019.0031355907051,0,1961,23882,1322,1460
7,Rondeau-Libération,381850310,0.4698372808518985,1384.879626772743,0,1959,21720,1063,1383
8,Île Verte-Maréchal Randon,381850210,0.4596130808185682,987.6388321091205,1,1700,25614,1213,1174
9,Fiancey-Brieux,383820201,0.4500419840624811,1297.9755512420281,0,1690,27360,850,1050
10,Île Verte-Saint-Roch,381850209,0.4489917866869621,848.605181775232,2,1659,26040,1211,1127
