siret,siren,commune,cp,numero,type_voie,libelle_voie,adresse_sirene,enseigne_sirene,denomination_sirene,code_naf,type_pv,nb_candidats_meme_voie,candidats_drives_meme_voie,drive_trouve,nb_drives_match,drives_types,drives_enseignes,drives_adresses,drives_sources,drives_urls,match_method
81422763300025,814227633,GRENOBLE,38000,22,Cours,JEAN JAURES,"22 Cours JEAN JAURES , 38000 GRENOBLE",CARREFOUR CITY,FAVIDIS,4711D,super,1,"22 Cours Jean Jaurès, 38000 Grenoble",TRUE,1,voiture,Carrefour City Grenoble Jaurès 22,"22 Cours Jean Jaurès, 38000 Grenoble",drives_grenoble_complement.csv | validation_manuelle_user_2026-03-21,https://www.carrefour.fr/magasin/city-grenoble-jaures-22/drive,num_or_range | manual_override_voiture
40098842400505,400988424,GRENOBLE,38000,7,Square,DES FUSILLES,"7 Square DES FUSILLES , 38000 GRENOBLE",CARREFOUR CITY,ALTOP,4711D,super,1,"5-7 Square des Fusillés (ZA Bouchayer-Viallet), 38000 Grenoble",TRUE,1,voiture,CARREFOUR CITY,"7 Square DES FUSILLES , 38000 GRENOBLE",validation_manuelle_user_2026-03-21,,manual_override_voiture
84287351500014,842873515,GRENOBLE,38100,12,Rue,ANDRE ARGOUGES,"12 Rue ANDRE ARGOUGES , 38100 GRENOBLE",CARREFOUR CONTACT,MERCA DISTRI,4711D,super,0,,TRUE,1,voiture,CARREFOUR CONTACT,"12 Rue ANDRE ARGOUGES , 38100 GRENOBLE",validation_manuelle_user_2026-03-21,,manual_override_voiture
32880337400011,328803374,GRENOBLE,38000,15,Route,DE LYON,"15 Route DE LYON , 38000 GRENOBLE",INTERMARCHE,SOPLANADE SA,4711D,super,1,"15 Route de Lyon, 38000 Grenoble",TRUE,1,voiture,Intermarché SUPER Grenoble (Route de Lyon),"15 Route de Lyon, 38000 Grenoble",drives_grenoble_complement.csv,https://www.intermarche.com/magasin?pdvref=10820,num_or_range
43397829300028,433978293,GRENOBLE,38100,10,Rue,EDOUARD VAILLANT,"10 Rue EDOUARD VAILLANT , 38100 GRENOBLE",,LA CAPUCHE,4711D,super,1,"10 Rue Edouard Vaillant, 38100 Grenoble",TRUE,1,voiture,Super U - Grenoble,"10 Rue Edouard Vaillant, 38100 Grenoble",drives_grenoble_complement.csv,https://www.coursesu.com/drive-grenoble,num_or_range
45132133501120,451321335,MEYLAN,38240,1,Boulevard,DES ALPES,"1 Boulevard DES ALPES , 38240 MEYLAN",CARREFOUR,CARREFOUR HYPERMARCHES,4711F,hyper,1,"1 Boulevard des Alpes, 38240 Meylan",TRUE,1,voiture,Carrefour Drive Grenoble Meylan,"1 Boulevard des Alpes, 38240 Meylan",drives_grenoble_complement.csv | validation_manuelle_user_2026-03-21,https://www.carrefour.fr/magasin/grenoble-meylan/drive,num_or_range | manual_override_voiture
45132133502185,451321335,SAINT-EGREVE,38120,1,Rue,DES ABATTOIRS,"1 Rue DES ABATTOIRS , 38120 SAINT-EGREVE",CARREFOUR,CARREFOUR HYPERMARCHES,4711F,hyper,0,,TRUE,1,voiture,CARREFOUR,"1 Rue DES ABATTOIRS , 38120 SAINT-EGREVE",validation_manuelle_user_2026-03-21,,manual_override_voiture
44433064101422,444330641,GRENOBLE,38000,2,Rue,HOCHE,"2 Rue HOCHE , 38000 GRENOBLE",ALDI MARCHE,ALDI MARCHE,4711D,super,0,,FALSE,0,,,,,,
41040901503372,410409015,GRENOBLE,38100,10,Avenue,MARIE REYNOARD,"10 Avenue MARIE REYNOARD , 38100 GRENOBLE",AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,4711D,super,0,,FALSE,0,,,,,,
41040901501228,410409015,GRENOBLE,38100,112,Avenue,JEAN PERROT,"112 Avenue JEAN PERROT , 38100 GRENOBLE",AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,4711D,super,0,,FALSE,0,,,,,,
41040901501210,410409015,GRENOBLE,38100,35,Rue,DE STALINGRAD,"35 Rue DE STALINGRAD , 38100 GRENOBLE",AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,4711D,super,0,,FALSE,0,,,,,,
41040901502747,410409015,GRENOBLE,38000,58,Boulevard,MARECHAL FOCH,"58 Boulevard MARECHAL FOCH , 38000 GRENOBLE",AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,4711D,super,0,,FALSE,0,,,,,,
89158795800028,891587958,GRENOBLE,38000,17,,GRANDE RUE,"17 NA GRANDE RUE , 38000 GRENOBLE",CARREFOUR CITY,ECHIROLLES BAMACC,4711D,super,0,,FALSE,0,,,,,,
53311993900031,533119939,GRENOBLE,38000,2,Avenue,FELIX VIALLET,"2 Avenue FELIX VIALLET , 38000 GRENOBLE",CARREFOUR CITY,BAMACC,4711D,super,0,,FALSE,0,,,,,,
89765470300023,897654703,GRENOBLE,38100,2,Avenue,RHIN ET DANUBE,"2 Avenue RHIN ET DANUBE , 38100 GRENOBLE",CARREFOUR CITY,DESTINO MTD,4711D,super,0,,FALSE,0,,,,,,
94515324500010,945153245,GRENOBLE,38000,25,Avenue,MARECHAL RANDON,"25 Avenue MARECHAL RANDON , 38000 GRENOBLE",CARREFOUR CITY,MERCA RANDON,4711D,super,0,,FALSE,0,,,,,,
93307543400011,933075434,GRENOBLE,38000,31,Cours,JEAN JAURES,"31 Cours JEAN JAURES , 38000 GRENOBLE",CARREFOUR CITY,MAESSIA,4711D,super,1,"22 Cours Jean Jaurès, 38000 Grenoble",FALSE,0,,,,,,
93143055700013,931430557,GRENOBLE,38000,7,Square,DES FUSILLES,"7 Square DES FUSILLES , 38000 GRENOBLE",CARREFOUR CITY,FZYNA,4711D,super,1,"5-7 Square des Fusillés (ZA Bouchayer-Viallet), 38000 Grenoble",FALSE,0,,,,,,
97828380200012,978283802,GRENOBLE,38000,9,Rue,GUETAL,"9 Rue GUETAL , 38000 GRENOBLE",CARREFOUR CITY,CLI WAGNER,4711D,super,0,,FALSE,0,,,,,,
