commune,groupe,enseigne,adresse,type_implantation,type_drive,source_url,numero,voie,cp,ville,voie_normalisee
GRENOBLE,SYSTEME_U,Super U - Grenoble,"10 Rue Edouard Vaillant, 38100 Grenoble",accole,voiture,https://www.coursesu.com/drive-grenoble,10,"Rue Edouard Vaillant",38100,Grenoble,"RUE EDOUARD VAILLANT"
GRENOBLE,SYSTEME_U,U Express - Grenoble Vizille,"11 Avenue de Vizille, 38000 Grenoble",a_qualifier,voiture,https://www.coursesu.com/drive-grenoble,11,"Avenue de Vizille",38000,Grenoble,"AVENUE DE VIZILLE"
GRENOBLE,ITM_LES_MOUSQUETAIRES,Intermarché SUPER Grenoble (Route de Lyon),"15 Route de Lyon, 38000 Grenoble",accole,voiture,https://www.intermarche.com/magasin?pdvref=10820,15,"Route de Lyon",38000,Grenoble,"ROUTE DE LYON"
GRENOBLE,ITM_LES_MOUSQUETAIRES,Intermarché SUPER Grenoble (Maréchal Foch),"13 Boulevard du Maréchal Foch, 38100 Grenoble",a_qualifier,a_pied,https://www.intermarche.com/magasins/10603/grenoble-38100/infos-pratiques,13,"Boulevard du Maréchal Foch",38100,Grenoble,"BOULEVARD DU MARECHAL FOCH"
GRENOBLE,ITM_LES_MOUSQUETAIRES,Intermarché Express Grenoble (Cours Berriat),"28 Cours Berriat, 38000 Grenoble",a_qualifier,a_pied,https://www.intermarche.com/magasin?pdvref=11679,28,"Cours Berriat",38000,Grenoble,"COURS BERRIAT"
GRENOBLE,CARREFOUR,Carrefour Contact Grenoble Argouges,"14 Rue des Argouges, 38000 Grenoble",a_qualifier,a_pied,https://www.carrefour.fr/magasin/contact-grenoble-argouges/drive,14,"Rue des Argouges",38000,Grenoble,"RUE DES ARGOUGES"
GRENOBLE,CARREFOUR,Carrefour City Grenoble Jaurès 22,"22 Cours Jean Jaurès, 38000 Grenoble",a_qualifier,a_pied,https://www.carrefour.fr/magasin/city-grenoble-jaures-22/drive,22,"Cours Jean Jaurès",38000,Grenoble,"COURS JEAN JAURES"
GRENOBLE,CARREFOUR,Carrefour City Grenoble Bouchayer,"5-7 Square des Fusillés (ZA Bouchayer-Viallet), 38000 Grenoble",a_qualifier,a_pied,https://www.carrefour.fr/magasin/city-grenoble-bouchayer/drive,"5-7","Square des Fusillés",38000,Grenoble,"SQUARE DES FUSILLES"
MEYLAN,CARREFOUR,Carrefour Drive Grenoble Meylan,"1 Boulevard des Alpes, 38240 Meylan",accole,voiture,https://www.carrefour.fr/magasin/grenoble-meylan/drive,1,"Boulevard des Alpes",38240,Meylan,"BOULEVARD DES ALPES"
MEYLAN,CARREFOUR,Carrefour Express Meylan (retrait magasin),"47 Rue de la Chartreuse, 38240 Meylan",a_qualifier,a_pied,https://www.carrefour.fr/magasin/express-meylan,47,"Rue de la Chartreuse",38240,Meylan,"RUE DE LA CHARTREUSE"
LATRONCHE,CARREFOUR,Carrefour Express La Tronche (retrait magasin),"28 Grande Rue, 38700 La Tronche",a_qualifier,a_pied,https://www.carrefour.fr/magasin/express-la-tronche,28,"Grande Rue",38700,"La Tronche","GRANDE RUE"
SAINTEGREVE,CARREFOUR,Carrefour Drive Saint-Égrève,"1 Rue des Abattoirs, 38120 Saint-Égrève",accole,voiture,https://www.carrefour.fr/magasin/saint-egreve/drive,1,"Rue des Abattoirs",38120,"Saint-Égrève","RUE DES ABATTOIRS"
SAINTEGREVE,CARREFOUR,Carrefour Express Saint-Égrève (retrait magasin),"1 Bis Rue de Predieu, 38120 Saint-Égrève",a_qualifier,a_pied,https://www.carrefour.fr/magasin/express-saint-egreve,"1 Bis","Rue de Predieu",38120,"Saint-Égrève","RUE DE PREDIEU"
SASSENAGE,CARREFOUR,Carrefour Drive Market Sassenage,"Rue du 19 Mars 1862, 38360 Sassenage",accole,voiture,https://www.carrefour.fr/magasin/market-sassenage/drive,,"Rue du 19 Mars 1862",38360,Sassenage,"RUE DU 19 MARS 1862"
FONTAINE,AUCHAN,Auchan Drive Fontaine,"120 Boulevard Paul Langevin, 38600 Fontaine",accole,voiture,https://www.auchan.fr/magasins/drive/auchan-drive-fontaine/s-6309,120,"Boulevard Paul Langevin",38600,Fontaine,"BOULEVARD PAUL LANGEVIN"
SEYSSINETPARISET,CARREFOUR,Carrefour Express Seyssinet-Pariset (retrait magasin),"115 Avenue de la République, 38170 Seyssinet-Pariset",a_qualifier,a_pied,https://www.carrefour.fr/magasin/express-seyssinet-pariset,115,"Avenue de la République",38170,"Seyssinet-Pariset","AVENUE DE LA REPUBLIQUE"
SEYSSINETPARISET,CARREFOUR,Carrefour City Seyssinet-Pariset (retrait magasin),"29 Boulevard de l'Europe, 38170 Seyssinet-Pariset",a_qualifier,a_pied,https://www.carrefour.fr/magasin/city-seyssinet-pariset,29,"Boulevard de l'Europe",38170,"Seyssinet-Pariset","BOULEVARD DE L EUROPE"
SEYSSINS,ITM_LES_MOUSQUETAIRES,Intermarché SUPER Seyssins,"112 Rue de la Liberté, 38180 Seyssins",accole,voiture,https://www.intermarche.com/magasins/10814/seyssins-38180/infos-pratiques,112,"Rue de la Liberté",38180,Seyssins,"RUE DE LA LIBERTE"
