type,siret
present_2025_not_old,98918678800018
present_2025_not_old,30087380900028
present_2025_not_old,53080526600018
present_2025_not_old,30554048600019
present_2025_not_old,82536744400015
present_2025_not_old,35334040900013
present_2025_not_old,75226052100022
present_2025_not_old,75051522300014
present_2025_not_old,25160239700019
present_2025_not_old,54001478400024
present_2025_not_old,80237021300067
present_2025_not_old,30087741200019
present_2025_not_old,48537263500014
present_2025_not_old,30554663200038
present_2025_not_old,88197706000014
present_2025_not_old,35335024200015
present_2025_not_old,75226817700017
present_2025_not_old,75053359800017
present_2025_not_old,25171047100029
present_2025_not_old,48535598600012
present_2025_not_old,45070025700014
present_2025_not_old,30088496200014
present_2025_not_old,48502243800017
present_2025_not_old,30554844800011
present_2025_not_old,37989949500012
present_2025_not_old,35335323800036
present_2025_not_old,75228475200025
present_2025_not_old,75054673100019
present_2025_not_old,25220356700026
present_2025_not_old,98488733100010
present_2025_not_old,51006130200020
present_2025_not_old,30089762600010
present_2025_not_old,41787882400024
present_2025_not_old,30556093000029
present_2025_not_old,91473375300026
present_2025_not_old,35335378200017
present_2025_not_old,75228539500022
present_2025_not_old,75055038600015
present_2025_not_old,25220356700034
present_2025_not_old,99487331300013
present_2025_not_old,83953873300016
present_2025_not_old,30090365500011
present_2025_not_old,41787882400040
present_2025_not_old,30557490700021
present_2025_not_old,32376262500024
present_2025_not_old,35335581100020
present_2025_not_old,75229247400018
present_2025_not_old,75055588000012
present_2025_not_old,25240241700015
present_2025_not_old,50871680000018
present_2025_not_old,84258930100014
present_2025_not_old,30095185200015
present_2025_not_old,89178445600016
present_2025_not_old,30558491400017
present_2025_not_old,32376262500016
present_2025_not_old,35336535600016
present_2025_not_old,75231525900016
present_2025_not_old,75055680500018
present_2025_not_old,25260042400011
present_2025_not_old,53941875600026
present_2025_not_old,84058600200023
present_2025_not_old,30095366800013
present_2025_not_old,33458422400011
present_2025_not_old,30558637200404
present_2025_not_old,79205435500021
present_2025_not_old,35336737800026
present_2025_not_old,75232970600010
present_2025_not_old,75056416300012
present_2025_not_old,25270104000039
present_2025_not_old,50537888500014
present_2025_not_old,43148954100042
present_2025_not_old,30096503500011
present_2025_not_old,31721003700055
present_2025_not_old,30558641400164
present_2025_not_old,35156401800015
present_2025_not_old,35337743500022
present_2025_not_old,75233364100047
present_2025_not_old,75056758800017
present_2025_not_old,25270104000013
present_2025_not_old,80871980100033
present_2025_not_old,43148954100034
present_2025_not_old,30098632000012
present_2025_not_old,31721003700063
present_2025_not_old,30558641400206
present_2025_not_old,94968763600017
present_2025_not_old,35337756700022
present_2025_not_old,75236048700025
present_2025_not_old,75057287700017
present_2025_not_old,25270214700023
present_2025_not_old,88908571800019
present_2025_not_old,83355032000018
present_2025_not_old,30099681600017
present_2025_not_old,78003794100017
present_2025_not_old,30559810400043
present_2025_not_old,80888251800026
present_2025_not_old,35337798900010
present_2025_not_old,75236482800042
present_2025_not_old,75057958300014
present_2025_not_old,25370170000028
present_2025_not_old,48777140400042
present_2025_not_old,42766733200014
present_2025_not_old,30100356200032
present_2025_not_old,91035149300010
present_2025_not_old,30562465200015
present_2025_not_old,35150708200052
present_2025_not_old,35338091800014
present_2025_not_old,75238115200038
present_2025_not_old,75058310600018
present_2025_not_old,25380249000016
present_2025_not_old,49823203200017
present_2025_not_old,95680417300014
present_2025_not_old,30100625000023
present_2025_not_old,82005150600013
present_2025_not_old,30562828100035
present_2025_not_old,50752752100011
present_2025_not_old,35338708700011
present_2025_not_old,75238418000051
present_2025_not_old,75059139800011
present_2025_not_old,25390185400013
present_2025_not_old,38343712600022
present_2025_not_old,43448547000026
present_2025_not_old,30100759700075
present_2025_not_old,38802606400021
present_2025_not_old,30564082300012
present_2025_not_old,53298049700012
present_2025_not_old,35339662500017
present_2025_not_old,75238583100017
present_2025_not_old,75059223000015
present_2025_not_old,25410012600013
present_2025_not_old,95182960500017
present_2025_not_old,20001382900011
present_2025_not_old,30100946000017
present_2025_not_old,88459313800016
present_2025_not_old,30564834700014
present_2025_not_old,88515225600024
present_2025_not_old,35340483300025
present_2025_not_old,75238689600019
present_2025_not_old,75060461300026
present_2025_not_old,25410226200014
present_2025_not_old,83881428300019
present_2025_not_old,49325182100010
present_2025_not_old,30101112800016
present_2025_not_old,48369097000015
present_2025_not_old,30565115000016
present_2025_not_old,52465564400010
present_2025_not_old,35341070700015
present_2025_not_old,75238806600017
present_2025_not_old,75060824200012
present_2025_not_old,25440172200015
present_2025_not_old,52418585700025
present_2025_not_old,95307379800027
present_2025_not_old,30101317300028
present_2025_not_old,85261010400022
present_2025_not_old,30565753800016
present_2025_not_old,83822567000010
present_2025_not_old,35341323000023
present_2025_not_old,75239556600017
present_2025_not_old,75061291300012
present_2025_not_old,25450226300018
present_2025_not_old,80920592500039
present_2025_not_old,88362310000012
present_2025_not_old,30101895800050
present_2025_not_old,95214802100019
present_2025_not_old,30566107600011
present_2025_not_old,44115419200021
present_2025_not_old,35344358300011
present_2025_not_old,75239679600019
present_2025_not_old,75061631000017
present_2025_not_old,25460046300015
present_2025_not_old,82234809000017
present_2025_not_old,90071442900017
present_2025_not_old,30102945000022
present_2025_not_old,93879099500014
present_2025_not_old,30566724800028
present_2025_not_old,52965984900044
present_2025_not_old,35345101600052
present_2025_not_old,75241518200027
present_2025_not_old,75062002300028
present_2025_not_old,25470230100014
present_2025_not_old,90818661200028
present_2025_not_old,78622031900010
present_2025_not_old,30103361900018
present_2025_not_old,92096373300018
present_2025_not_old,30566916000015
present_2025_not_old,93998478700019
present_2025_not_old,35345152900021
present_2025_not_old,75241749300034
present_2025_not_old,75063363800010
present_2025_not_old,25490148100013
present_2025_not_old,93813341000010
present_2025_not_old,53128737300025
present_2025_not_old,30104190100010
present_2025_not_old,99512708100017
present_2025_not_old,30567561300031
present_2025_not_old,75408264200028
present_2025_not_old,35345649400015
present_2025_not_old,75243751700028
present_2025_not_old,75063677100024
present_2025_not_old,25500171100019
present_2025_not_old,42936381500011
present_2025_not_old,38351252200012
present_2025_not_old,30105133000043
present_2025_not_old,95364235200017
present_2025_not_old,30567561300072
present_2025_not_old,91928910800020
present_2025_not_old,35345997700032
present_2025_not_old,75244139400026
present_2025_not_old,75064743000016
present_2025_not_old,25540059000014
present_2025_not_old,47908324800019
present_2025_not_old,39055558900022
present_2025_not_old,30105450800017
present_2025_not_old,33842586100048
present_2025_not_old,30567892200017
present_2025_not_old,82368108500010
present_2025_not_old,35347012300012
present_2025_not_old,75245173200024
present_2025_not_old,75065404800016
present_2025_not_old,25540130900018
present_2025_not_old,89406839400010
present_2025_not_old,49993111100029
present_2025_not_old,30105777400012
present_2025_not_old,93268667800016
present_2025_not_old,30568007600018
present_2025_not_old,38308640200013
present_2025_not_old,35348560000012
present_2025_not_old,75245576600010
present_2025_not_old,75066973100010
present_2025_not_old,25540252100017
present_2025_not_old,49223673200037
present_2025_not_old,49513796000011
present_2025_not_old,30106414300029
present_2025_not_old,93518225300010
present_2025_not_old,30569257600021
present_2025_not_old,41325652000037
present_2025_not_old,35348560000038
present_2025_not_old,75246418000013
present_2025_not_old,75067025900019
present_2025_not_old,25600024100016
present_2025_not_old,83160138000015
present_2025_not_old,75076151200029
present_2025_not_old,30106961300018
present_2025_not_old,79986934200326
present_2025_not_old,30572180500011
present_2025_not_old,90407826800011
present_2025_not_old,35348560000020
present_2025_not_old,75246577300022
present_2025_not_old,75067067100031
present_2025_not_old,25600252800014
present_2025_not_old,92018115300015
present_2025_not_old,91245219000016
present_2025_not_old,30106965400012
present_2025_not_old,79986934200300
present_2025_not_old,30574630700035
present_2025_not_old,94009501100018
present_2025_not_old,35349011300019
present_2025_not_old,75246577300014
present_2025_not_old,75068695800018
present_2025_not_old,25600394800013
present_2025_not_old,91192609500017
present_2025_not_old,82783570300014
present_2025_not_old,30107246800020
present_2025_not_old,79986934200078
present_2025_not_old,30576396300017
present_2025_not_old,81309777100022
present_2025_not_old,35350062200017
present_2025_not_old,75248219000010
present_2025_not_old,75070090800015
present_2025_not_old,25640194400010
present_2025_not_old,34767247900016
present_2025_not_old,99105848800016
present_2025_not_old,30112111700016
present_2025_not_old,79986934200425
present_2025_not_old,30577237800017
present_2025_not_old,38487930000018
present_2025_not_old,35350629800010
present_2025_not_old,75248376800012
present_2025_not_old,75071886800011
present_2025_not_old,25670133500018
present_2025_not_old,99214239800013
present_2025_not_old,50315596200015
present_2025_not_old,30113976200027
present_2025_not_old,50964829100011
present_2025_not_old,30577371500019
present_2025_not_old,50117529300015
present_2025_not_old,35350634800021
present_2025_not_old,75248422000021
present_2025_not_old,75072486600025
present_2025_not_old,25710408300015
present_2025_not_old,34082553800036
present_2025_not_old,81433996600016
present_2025_not_old,30114415000028
present_2025_not_old,77370441600025
present_2025_not_old,30578480300010
present_2025_not_old,84361917200011
present_2025_not_old,35350880700024
present_2025_not_old,75249192800012
present_2025_not_old,75073356000015
present_2025_not_old,25740084600024
present_2025_not_old,79108099700020
present_2025_not_old,78939485500017
present_2025_not_old,30114524900035
present_2025_not_old,83804233100010
present_2025_not_old,30578884600023
present_2025_not_old,81404438400034
present_2025_not_old,35351020900029
present_2025_not_old,75249415300022
present_2025_not_old,75073448500030
present_2025_not_old,25760011400017
present_2025_not_old,49107946300015
present_2025_not_old,44759862400024
present_2025_not_old,30115234400018
present_2025_not_old,53932124000050
present_2025_not_old,30579537900067
present_2025_not_old,53170770100037
present_2025_not_old,35351204900027
present_2025_not_old,75249566300011
present_2025_not_old,75073448500022
present_2025_not_old,25780084700010
present_2025_not_old,82971267800012
present_2025_not_old,43055330500011
present_2025_not_old,30116117000255
present_2025_not_old,53932124000076
present_2025_not_old,30579664100028
present_2025_not_old,53170770100011
present_2025_not_old,35351849100017
present_2025_not_old,75250410000013
present_2025_not_old,75073459200017
present_2025_not_old,25782585100013
present_2025_not_old,98301497800016
present_2025_not_old,82847734900017
present_2025_not_old,30116117000164
present_2025_not_old,44468419500019
present_2025_not_old,30580046800046
present_2025_not_old,84216506000018
present_2025_not_old,35351898800012
present_2025_not_old,75252474400014
present_2025_not_old,75073746200028
present_2025_not_old,25790096900011
present_2025_not_old,83241078100013
present_2025_not_old,53816130800019
present_2025_not_old,30117000700076
present_2025_not_old,82324265600036
present_2025_not_old,30580735600012
present_2025_not_old,89249201800015
present_2025_not_old,35351898800053
present_2025_not_old,75252519600016
present_2025_not_old,75075129900025
present_2025_not_old,25800424100018
present_2025_not_old,35072827500016
present_2025_not_old,48355115600035
present_2025_not_old,30117183100011
present_2025_not_old,48908028300034
present_2025_not_old,30580820600018
present_2025_not_old,88432203300033
present_2025_not_old,35352033100011
present_2025_not_old,75252899200015
present_2025_not_old,75077050500030
present_2025_not_old,25840250200011
present_2025_not_old,48110887600022
present_2025_not_old,48355115600027
present_2025_not_old,30117191400015
present_2025_not_old,84786320600045
present_2025_not_old,30582214000086
present_2025_not_old,88432203300025
present_2025_not_old,35352127100018
present_2025_not_old,75254408000019
present_2025_not_old,75078464700034
