column,raw_dataseed_sirene_2,raw_dataseed_sirene_1,actif_dataseed_sirene_1,n_sources_present
activitepri,TRUE,TRUE,TRUE,3
activitepri.1,TRUE,TRUE,TRUE,3
activitepri.2,TRUE,TRUE,TRUE,3
denominatio,TRUE,TRUE,TRUE,3
enseigne1et,TRUE,TRUE,TRUE,3
enseigne2et,TRUE,TRUE,TRUE,3
enseigne3et,TRUE,TRUE,TRUE,3
etatadminis,TRUE,TRUE,TRUE,3
geometry,TRUE,TRUE,TRUE,3
libellecomm,TRUE,TRUE,TRUE,3
siret,TRUE,TRUE,TRUE,3
Adresse_de_,FALSE,TRUE,TRUE,2
Annee_de_la,FALSE,TRUE,TRUE,2
Annee_de_la.1,FALSE,TRUE,TRUE,2
Annee_de_la.2,FALSE,TRUE,TRUE,2
Caractere_e,FALSE,TRUE,TRUE,2
Caractere_e.1,FALSE,TRUE,TRUE,2
Categorie_d,FALSE,TRUE,TRUE,2
Categorie_j,FALSE,TRUE,TRUE,2
Civilite_de,FALSE,TRUE,TRUE,2
Classe_de_l,FALSE,TRUE,TRUE,2
Classe_de_l.1,FALSE,TRUE,TRUE,2
Code_EPCI_d,FALSE,TRUE,TRUE,2
Code_cedex_,FALSE,TRUE,TRUE,2
Code_cedex_.1,FALSE,TRUE,TRUE,2
Code_commun,FALSE,TRUE,TRUE,2
Code_de_la_,FALSE,TRUE,TRUE,2
Code_de_la_.1,FALSE,TRUE,TRUE,2
Code_de_lar,FALSE,TRUE,TRUE,2
Code_du_dep,FALSE,TRUE,TRUE,2
Code_du_pay,FALSE,TRUE,TRUE,2
Code_pays_d,FALSE,TRUE,TRUE,2
Code_postal,FALSE,TRUE,TRUE,2
Code_postal.1,FALSE,TRUE,TRUE,2
Complement_,FALSE,TRUE,TRUE,2
Complement_.1,FALSE,TRUE,TRUE,2
Date_de_cre,FALSE,TRUE,TRUE,2
Date_de_cre.1,FALSE,TRUE,TRUE,2
Date_de_deb,FALSE,TRUE,TRUE,2
Date_de_fer,FALSE,TRUE,TRUE,2
Date_de_fer.1,FALSE,TRUE,TRUE,2
Date_de_la_,FALSE,TRUE,TRUE,2
Date_du_deb,FALSE,TRUE,TRUE,2
Date_du_der,FALSE,TRUE,TRUE,2
Denominatio.1,FALSE,TRUE,TRUE,2
Denominatio.2,FALSE,TRUE,TRUE,2
Denominatio.3,FALSE,TRUE,TRUE,2
Denominatio.4,FALSE,TRUE,TRUE,2
Departement,FALSE,TRUE,TRUE,2
Distributio,FALSE,TRUE,TRUE,2
Distributio.1,FALSE,TRUE,TRUE,2
Division_de,FALSE,TRUE,TRUE,2
Division_de.1,FALSE,TRUE,TRUE,2
Economie_so,FALSE,TRUE,TRUE,2
Etablisseme,FALSE,TRUE,TRUE,2
Etat_admini.1,FALSE,TRUE,TRUE,2
Groupe_de_l,FALSE,TRUE,TRUE,2
Groupe_de_l.1,FALSE,TRUE,TRUE,2
Identifiant,FALSE,TRUE,TRUE,2
Indice_de_r,FALSE,TRUE,TRUE,2
Indice_de_r.1,FALSE,TRUE,TRUE,2
Libelle_ced,FALSE,TRUE,TRUE,2
Libelle_ced.1,FALSE,TRUE,TRUE,2
Libelle_de_,FALSE,TRUE,TRUE,2
Libelle_de_.1,FALSE,TRUE,TRUE,2
Libelle_de_.2,FALSE,TRUE,TRUE,2
Libelle_de_.3,FALSE,TRUE,TRUE,2
Libelle_de_.4,FALSE,TRUE,TRUE,2
Libelle_de_.5,FALSE,TRUE,TRUE,2
Libelle_du_,FALSE,TRUE,TRUE,2
Libelle_du_.1,FALSE,TRUE,TRUE,2
NIC,FALSE,TRUE,TRUE,2
NIC_du_sieg,FALSE,TRUE,TRUE,2
Nature_juri,FALSE,TRUE,TRUE,2
Nom_de_la_p,FALSE,TRUE,TRUE,2
Nom_dusage_,FALSE,TRUE,TRUE,2
Nombre_de_p,FALSE,TRUE,TRUE,2
