enseigne_display,n,source_id,scope
ENSEIGNE_INCONNUE,6,raw_dataseed_sirene_2,4711_zone_active
CARREFOUR CITY,5,raw_dataseed_sirene_2,4711_zone_active
CARREFOUR EXPRESS,5,raw_dataseed_sirene_2,4711_zone_active
AUCHAN SUPERMARCHE,4,raw_dataseed_sirene_2,4711_zone_active
CARREFOUR,2,raw_dataseed_sirene_2,4711_zone_active
INTERMARCHE,2,raw_dataseed_sirene_2,4711_zone_active
LIDL,2,raw_dataseed_sirene_2,4711_zone_active
UTILE,2,raw_dataseed_sirene_2,4711_zone_active
ALDI MARCHE,1,raw_dataseed_sirene_2,4711_zone_active
CARREFOUR CONTACT,1,raw_dataseed_sirene_2,4711_zone_active
CITY,1,raw_dataseed_sirene_2,4711_zone_active
MONOPRIX,1,raw_dataseed_sirene_2,4711_zone_active
CARREFOUR CITY,9,raw_dataseed_sirene_1,4711_zone_active
ENSEIGNE_INCONNUE,5,raw_dataseed_sirene_1,4711_zone_active
AUCHAN SUPERMARCHE,4,raw_dataseed_sirene_1,4711_zone_active
CARREFOUR EXPRESS,4,raw_dataseed_sirene_1,4711_zone_active
INTERMARCHE,3,raw_dataseed_sirene_1,4711_zone_active
LIDL,3,raw_dataseed_sirene_1,4711_zone_active
ALDI MARCHE,2,raw_dataseed_sirene_1,4711_zone_active
CARREFOUR,2,raw_dataseed_sirene_1,4711_zone_active
UTILE,2,raw_dataseed_sirene_1,4711_zone_active
CARREFOUR CONTACT,1,raw_dataseed_sirene_1,4711_zone_active
CITY,1,raw_dataseed_sirene_1,4711_zone_active
MONOPRIX,1,raw_dataseed_sirene_1,4711_zone_active
CARREFOUR CITY,9,actif_dataseed_sirene_1,4711_zone_active
ENSEIGNE_INCONNUE,5,actif_dataseed_sirene_1,4711_zone_active
AUCHAN SUPERMARCHE,4,actif_dataseed_sirene_1,4711_zone_active
CARREFOUR EXPRESS,4,actif_dataseed_sirene_1,4711_zone_active
INTERMARCHE,3,actif_dataseed_sirene_1,4711_zone_active
LIDL,3,actif_dataseed_sirene_1,4711_zone_active
ALDI MARCHE,2,actif_dataseed_sirene_1,4711_zone_active
CARREFOUR,2,actif_dataseed_sirene_1,4711_zone_active
UTILE,2,actif_dataseed_sirene_1,4711_zone_active
CARREFOUR CONTACT,1,actif_dataseed_sirene_1,4711_zone_active
CITY,1,actif_dataseed_sirene_1,4711_zone_active
MONOPRIX,1,actif_dataseed_sirene_1,4711_zone_active
